place, horse_no, horse_name, horse_id, jockey, trainer, actual_weight, declared_weight, draw, length_behind_winner, finish_time, win_odds, running_position_1, running_position_2, running_position_3, running_position_4, running_position_5, running_position_6
1,12,BEAUTIFUL CHOICE,H130,O Doleuze,Y S Tsui,120,1115,5,-,1.23.20,4.7,1,NA,NA,NA,NA,NA
2,4,HAPPY AMBASSADOR,H286,B Prebble,K W Lui,129,1027,4,1-1/4,1.23.40,2.7,7,NA,NA,NA,NA,NA
3,8,DASH,G236,G Boss,C H Yip,125,1068,3,1-1/2,1.23.40,51,6,NA,NA,NA,NA,NA
4,1,RELY ON ME,E068,C Soumillon,D Cruz,132,1221,2,2-3/4,1.23.60,11,4,NA,NA,NA,NA,NA
5,7,AMAZING JOURNEY,H281,W M Lai,P O'Sullivan,124,1065,6,3-1/2,1.23.80,13,5,NA,NA,NA,NA,NA
6,10,HELENE ELITE,J093,K L Chui,A S Cruz,119,1107,8,3-3/4,1.23.80,35,9,NA,NA,NA,NA,NA
7,14,DASHING WINNER,CA01,K T Yeung,B K Ng,110,1128,12,4,1.23.80,98,10,NA,NA,NA,NA,NA
8,2,STEEL NERVES,G320,D Beadman,A Schutz,132,1085,13,4,1.23.80,11,11,NA,NA,NA,NA,NA
9,11,MOSHI MOSHI,G255,Z Purton,J Moore,122,1083,1,4-1/4,1.23.90,13,NA,NA,NA,NA,NA,NA
10,3,WELL NOTED,G313,M Nunes,S Woods,132,1203,9,5-1/4,1.24.00,14,8,NA,NA,NA,NA,NA
11,13,UNDERDOG,H172,H W Lai,T W Leung,115,963,10,5-1/2,1.24.10,99,NA,NA,NA,NA,NA,NA
12,9,BELIEVE ME,J004,P H Lo,D Cruz,117,1063,7,5-3/4,1.24.10,99,NA,NA,NA,NA,NA,NA
13,6,PALAIS D'OR,H185,G Mosse,A Lee,128,1199,11,6-1/2,1.24.20,6,13,NA,NA,NA,NA,NA
WV,5,SPINMASTER,H188,F Coetzee,J Size,129,1102,---,---,---,---,NA,NA,NA,NA,NA,NA
1,2,ABSOLUTE CHAMPION,E060,B Prebble,D J Hall,126,1195,2,-,0.56.50,9,NA,NA,NA,NA,NA,NA
2,1,SACRED KINGDOM,G268,G Mosse,P F Yiu,126,1191,4,SH,0.56.50,1.1,6,NA,NA,NA,NA,NA
3,5,ABLE PRINCE,CC34,D Beadman,J Moore,126,1111,8,1-3/4,0.56.80,17,1,NA,NA,NA,NA,NA
