place, horse_no, horse_name, horse_id, jockey, trainer, actual_weight, declared_weight, draw, length_behind_winner, finish_time, win_odds, running_position_1, running_position_2, running_position_3, running_position_4, running_position_5, running_position_6
1,1,PICKETT,G155,P H Lo,C W Chang,122,1040,2,-,1.10.50,4.7,2,NA,NA,NA,NA,NA
2,8,SIAMERIC TE SPECSO,E171,B Prebble,D J Hall,121,1136,8,HD,1.10.60,4.9,NA,NA,NA,NA,NA,NA
3,4,TAIJI SPIRIT,CD18,G Mosse,A T Millard,126,1170,4,3/4,1.10.70,7.8,9,NA,NA,NA,NA,NA
4,10,MAGIC TEMPLE,CC36,A Delpech,S Woods,119,1210,1,2-1/4,1.10.90,20,10,NA,NA,NA,NA,NA
5,9,TREASURABLE,H017,K L Chui,P O'Sullivan,116,1015,3,2-1/4,1.10.90,7.3,6,NA,NA,NA,NA,NA
6,11,DEMINER,G184,F Coetzee,J Size,113,1155,11,2-1/4,1.10.90,7.4,3,NA,NA,NA,NA,NA
7,2,SUPER PEGASUS,H141,C Soumillon,D E Ferraris,128,1106,6,3-3/4,1.11.10,6.4,4,NA,NA,NA,NA,NA
8,3,JOLLY GOOD FORTUNE,CD27,Z Purton,K W Lui,127,1206,7,4,1.11.20,12,1,NA,NA,NA,NA,NA
9,7,WIN A DOZEN,H262,O Doleuze,K L Man,122,1120,10,5-1/4,1.11.30,9.9,7,NA,NA,NA,NA,NA
10,6,MASTER CRISTO,H321,H W Lai,T K Ng,120,-,9,5-1/4,1.11.40,99,8,NA,NA,NA,NA,NA
11,5,ENCOSTA DON,H305,S K Sit,D J Hall,122,1101,5,16,1.13.10,99,11,NA,NA,NA,NA,NA
1,9,JACKPOT DELIGHT,J101,C Soumillon,C Fownes,124,1187,9,-,1.37.60,3.4,2,NA,NA,NA,NA,NA
2,4,ALBERTINELLI,H111,A Delpech,K W Lui,127,1213,3,N,1.37.70,9.6,NA,NA,NA,NA,NA,NA
3,10,LOTZATOW,CD39,G Boss,P F Yiu,122,1093,10,N,1.37.70,8.6,7,NA,NA,NA,NA,NA
4,8,CARRIZO CREEK,E132,D Beadman,J Moore,124,1086,11,1/2,1.37.70,9.8,10,NA,NA,NA,NA,NA
5,5,DORDENMA,E333,E Wilson,C H Yip,127,1235,8,1,1.37.80,41,11,NA,NA,NA,NA,NA
6,6,TOM'S SIX,G264,G Mosse,C Fownes,126,1087,4,2-3/4,1.38.00,8.2,6,NA,NA,NA,NA,NA
7,12,ALL CHANCES,E241,F Coetzee,J Size,119,1123,6,3-3/4,1.38.20,5.5,NA,NA,NA,NA,NA,NA
8,3,RICE FIELD,E134,C W Wong,J Moore,123,1096,5,3-3/4,1.38.20,11,7,NA,NA,NA,NA,NA
9,1,EYSHAL,J099,E Saint-Martin,J Moore,129,1168,2,5,1.38.40,22,5,NA,NA,NA,NA,NA
10,2,JADE DRAGONFLY,E331,O Doleuze,P O'Sullivan,128,1188,7,5-1/2,1.38.50,8,9,NA,NA,NA,NA,NA
11,7,IRON FIST,H143,Z Purton,A T Millard,125,1266,1,6-3/4,1.38.70,75,3,NA,NA,NA,NA,NA
WV,11,SINGING DINERS,H063,B Prebble,C S Shum,120,1178,---,---,---,---,NA,NA,NA,NA,NA,NA
1,8,HORSE WIN WIN,J078,A Delpech,Y S Tsui,119,1121,3,-,1.24.00,5,12,NA,NA,NA,NA,NA
2,12,BODACIOUS,CD17,M W Leung,D J Hall,111,1063,4,HD,1.24.00,15,NA,NA,NA,NA,NA,NA
3,13,GOOD PARTNER,E221,H W Lai,K L Man,113,1135,10,5-3/4,1.24.90,10,4,NA,NA,NA,NA,NA
4,1,MARIBEAU,H213,F Coetzee,J Size,133,1132,1,6-1/2,1.25.00,8.6,5,NA,NA,NA,NA,NA
5,7,GOAL KEEPER,H277,B Prebble,P O'Sullivan,121,1194,6,6-1/2,1.25.00,12,NA,NA,NA,NA,NA,NA
6,3,FAT CHOY FOREVER,CD11,C W Wong,C H Yip,123,1234,8,6-3/4,1.25.10,53,2,NA,NA,NA,NA,NA
7,4,HERE WE GO,H247,K L Chui,A S Cruz,123,1186,11,7-1/4,1.25.10,41,9,NA,NA,NA,NA,NA
8,6,CIRCUIT HERO,G304,G Mosse,A Lee,123,1077,2,7-1/4,1.25.20,4,8,NA,NA,NA,NA,NA
9,9,LIFELINE RAPIDE,CD20,O Doleuze,A T Millard,120,1147,13,7-1/4,1.25.20,7.6,NA,NA,NA,NA,NA,NA
10,2,FORTUNE WARRIOR,CD09,D Beadman,T W Leung,131,1081,5,8,1.25.30,47,11,NA,NA,NA,NA,NA
11,11,BE MY SONG,H272,S K Sit,P F Yiu,116,1190,12,10,1.25.60,7.7,1,NA,NA,NA,NA,NA
12,14,GO BRITANNIA,J084,E Wilson,J Moore,115,1044,14,10,1.25.60,38,NA,NA,NA,NA,NA,NA
13,5,HAPPY GO LUCKY,H127,C Soumillon,C Fownes,124,1139,9,10-3/4,1.25.70,19,13,NA,NA,NA,NA,NA
WV-A,10,SUPER BABY,H227,E Saint-Martin,D Cruz,119,1083,---,---,---,---,NA,NA,NA,NA,NA,NA
1,12,WAVY PEAK,CD08,G Boss,P F Yiu,122,1112,3,-,1.36.60,3.6,NA,NA,NA,NA,NA,NA
2,8,FILEBO,E214,H W Lai,T W Leung,122,986,12,1-1/2,1.36.80,8.7,NA,NA,NA,NA,NA,NA
3,10,FAST WINNER,G140,C Soumillon,A Schutz,123,1062,8,1-3/4,1.36.90,18,8,NA,NA,NA,NA,NA
4,7,TELECOM TYCOON,CC03,Y T Cheng,D Cruz,125,1144,5,2,1.36.90,18,NA,NA,NA,NA,NA,NA
5,13,GLOBAL WAY,G158,O Doleuze,D E Ferraris,120,1021,4,2,1.36.90,12,6,NA,NA,NA,NA,NA
6,9,SHOW BRAVELY,CB38,C W Wong,Y S Tsui,119,1125,14,3-1/4,1.37.10,26,NA,NA,NA,NA,NA,NA
7,2,KING OF SPADES,CC05,F Coetzee,T K Ng,133,1059,1,3-1/2,1.37.10,9.8,NA,NA,NA,NA,NA,NA
8,3,SPICY HOT,H064,C K Tong,C Fownes,127,1061,2,6-1/4,1.37.60,24,NA,NA,NA,NA,NA,NA
9,14,CHALLENGER,E138,E Wilson,A Lee,113,1017,10,6-1/2,1.37.60,29,14,NA,NA,NA,NA,NA
10,4,MR FLOODLIGHT,G257,D Whyte,C S Shum,131,1095,6,7-1/2,1.37.80,3.4,3,NA,NA,NA,NA,NA
11,1,FIGS,E141,G Mosse,A Lee,133,1240,7,9-3/4,1.38.10,13,NA,NA,NA,NA,NA,NA
12,11,PLENTY OF TALENT,E329,Z Purton,K W Lui,123,1137,9,10-1/4,1.38.20,63,NA,NA,NA,NA,NA,NA
13,6,CHARMING MONKEYS,H148,M W Leung,B K Ng,123,1235,11,14,1.38.80,76,13,NA,NA,NA,NA,NA
14,5,TABBRIS,CB08,K T Yeung,A Lee,122,1202,13,15-3/4,1.39.10,37,1,NA,NA,NA,NA,NA
1,1,JAMESINA,H290,C Soumillon,D E Ferraris,131,1086,12,-,1.48.80,3.2,3,NA,NA,NA,NA,NA
2,12,JADE CHINA,G113,M W Leung,T W Leung,110,1136,4,N,1.48.90,48,NA,NA,NA,NA,NA,NA
3,8,SOMETHING SPECIAL,J014,K T Yeung,A T Millard,113,1071,11,1/2,1.48.90,57,11,NA,NA,NA,NA,NA
4,4,SPIRIT OF LO PAN,H140,D Whyte,Y S Tsui,125,1134,5,2-1/2,1.49.20,4.6,4,NA,NA,NA,NA,NA
5,6,ROCKET AND GOLD,H015,B Prebble,C H Yip,122,1064,3,4-1/4,1.49.50,5.1,9,NA,NA,NA,NA,NA
6,13,CHINSOLA,CD32,H W Lai,L Ho,110,995,13,4-1/4,1.49.50,17,2,NA,NA,NA,NA,NA
7,9,ACCELERATOR,G179,Y T Cheng,S Woods,117,943,1,4-1/2,1.49.50,8.6,8,NA,NA,NA,NA,NA
8,3,VINCERE,E324,D Beadman,J Moore,127,1150,7,5,1.49.60,17,5,NA,NA,NA,NA,NA
9,2,RED WINE HONEY,E287,S K Sit,C S Shum,127,1221,8,5,1.49.60,20,NA,NA,NA,NA,NA,NA
10,5,TRIUMPH,CC21,C W Wong,C H Yip,118,1070,10,6-1/4,1.49.80,59,NA,NA,NA,NA,NA,NA
11,10,SAMMY'S FORTUNE,H204,G Boss,A Schutz,118,1106,9,10-3/4,1.50.50,18,9,NA,NA,NA,NA,NA
12,11,KINGSTON TEMPLE,H234,O Doleuze,T K Ng,119,1093,6,12-1/2,1.50.80,11,7,NA,NA,NA,NA,NA
13,7,SUPER IDEAL,CC22,Z Purton,A Schutz,121,1093,2,20,1.52.00,52,6,NA,NA,NA,NA,NA
1,8,SIGHT WINNER,J049,D Whyte,J Size,123,1100,7,-,1.36.00,1.6,7,NA,NA,NA,NA,NA
2,2,MELLIFLUOUS,H212,O Doleuze,K L Man,132,1090,11,HD,1.36.00,30,8,NA,NA,NA,NA,NA
3,6,HANDSOME TARGET,H269,B Prebble,D J Hall,124,1069,1,1-3/4,1.36.20,6.1,5,NA,NA,NA,NA,NA
4,5,KING ACRYLIC,G295,C K Tong,P F Yiu,120,1077,9,2-1/4,1.36.30,25,1,NA,NA,NA,NA,NA
5,11,NASA PEARL,CC06,E Wilson,P O'Sullivan,115,1143,4,2-1/4,1.36.30,81,9,NA,NA,NA,NA,NA
6,3,HIGH INTELLIGENT,CD31,D Beadman,A T Millard,128,1130,5,2-3/4,1.36.40,14,3,NA,NA,NA,NA,NA
7,4,TRIUMPHANT DIAMOND,G227,C Soumillon,C S Shum,126,1097,6,3-1/4,1.36.50,8.9,10,NA,NA,NA,NA,NA
8,13,WAIT FOR ME,E332,C W Wong,C H Yip,109,1107,8,3-1/4,1.36.50,25,12,NA,NA,NA,NA,NA
9,7,MAINLAND SHUTTLE,G315,G Mosse,A Lee,124,1113,2,3-1/2,1.36.50,12,6,NA,NA,NA,NA,NA
10,1,CALIFORNIA BISHOP,CD35,K L Chui,A S Cruz,128,1146,10,5-3/4,1.36.90,78,2,NA,NA,NA,NA,NA
11,12,THE GOODIES,H097,F Coetzee,C Fownes,115,1023,12,6,1.36.90,29,13,NA,NA,NA,NA,NA
12,10,KING OF TURF,J102,Z Purton,A Lee,118,1043,13,8-1/4,1.37.30,99,11,NA,NA,NA,NA,NA
13,9,WARM EMBRACES,J162,M W Leung,T K Ng,115,983,3,9-1/4,1.37.40,76,4,NA,NA,NA,NA,NA
1,8,ULTRA FANTASY,G311,D Whyte,D E Ferraris,120,1223,11,-,1.09.80,10,2,NA,NA,NA,NA,NA
2,4,COUNTRY MUSIC,CD03,C Soumillon,A S Cruz,128,1255,2,1/2,1.09.90,5.5,NA,NA,NA,NA,NA,NA
3,2,KING ENCOSTA,G247,K L Chui,A S Cruz,126,1220,7,3/4,1.09.90,8.3,3,NA,NA,NA,NA,NA
4,10,MAVERICK STAR,E279,B Prebble,C H Yip,117,1166,3,1-1/4,1.10.00,4.8,NA,NA,NA,NA,NA,NA
5,6,TIGER PRAWN,G279,G Mosse,A T Millard,128,1174,1,1-3/4,1.10.00,3.5,7,NA,NA,NA,NA,NA
6,1,SANZIRO,E208,G Boss,C Fownes,133,1151,9,2-1/2,1.10.20,12,11,NA,NA,NA,NA,NA
7,5,LIBERAL'S KNIGHT,E272,F Coetzee,J Size,128,1148,5,3-1/4,1.10.30,54,5,NA,NA,NA,NA,NA
8,11,ELEGANT WIN,G297,Y T Cheng,P O'Sullivan,114,1167,12,3-1/2,1.10.30,6.7,10,NA,NA,NA,NA,NA
9,13,WHATAFANTASY,H267,E Wilson,D E Ferraris,113,1242,8,3-3/4,1.10.40,77,12,NA,NA,NA,NA,NA
10,12,CHEERFUL MASTER,E309,H W Lai,A Lee,110,1149,4,4,1.10.40,61,9,NA,NA,NA,NA,NA
11,3,FIFTY FIFTY,CD13,Z Purton,C Fownes,129,1157,10,7,1.10.90,28,1,NA,NA,NA,NA,NA
12,9,DOWN THE WICKET,H059,O Doleuze,A Lee,120,1116,6,14-3/4,1.12.10,73,4,NA,NA,NA,NA,NA
WV,7,INSPIRATION,G111,D Beadman,J Moore,127,1188,---,---,---,---,NA,NA,NA,NA,NA,NA
1,8,KENOBE,H222,O Doleuze,A Schutz,122,1060,9,-,1.36.30,5.8,10,NA,NA,NA,NA,NA
2,12,EXPEDITIOUS,E136,F Coetzee,B K Ng,117,1105,5,1/2,1.36.40,23,4,NA,NA,NA,NA,NA
3,14,COME HO CHOI,E082,E Wilson,T W Leung,114,1110,11,1-3/4,1.36.60,33,14,NA,NA,NA,NA,NA
4,6,TRIUMPHANT ECHO,J006,D Whyte,P O'Sullivan,123,1169,6,1-3/4,1.36.60,17,11,NA,NA,NA,NA,NA
5,4,EVER KING,E147,K T Yeung,J Moore,120,1021,13,2-3/4,1.36.70,58,NA,NA,NA,NA,NA,NA
6,13,MEGA BULLET,H192,G Boss,C Fownes,117,1067,7,3-1/2,1.36.90,13,5,NA,NA,NA,NA,NA
7,3,CHAMPION PIONEER,G305,G Mosse,A Lee,129,1068,2,3-3/4,1.36.90,7.6,9,NA,NA,NA,NA,NA
8,10,CRUSH ON YOU,H065,B Prebble,D J Hall,120,1124,8,4,1.37.00,3.7,8,NA,NA,NA,NA,NA
9,5,EMBRACES,H175,M W Leung,T K Ng,121,1017,3,4-1/4,1.37.00,22,7,NA,NA,NA,NA,NA
10,2,SOLAR,CC19,Z Purton,P F Yiu,132,1056,10,4-1/2,1.37.00,48,13,NA,NA,NA,NA,NA
11,1,MISSION,H073,C Soumillon,C H Yip,133,995,14,4-1/2,1.37.00,5.2,12,NA,NA,NA,NA,NA
12,9,SOUND OF SILENCE,CD13,K L Chui,K L Man,116,1093,4,5-1/4,1.37.20,17,2,NA,NA,NA,NA,NA
13,7,CLOVIS,H044,Y T Cheng,Y O Wong,120,1024,1,11,1.38.10,9.1,6,NA,NA,NA,NA,NA
14,11,TELECOM SIR,H217,S K Sit,S Woods,117,1147,12,ML,---,99,NA,NA,NA,NA,NA,NA
1,8,ISLAND SUNRISE,E276,K L Chui,A S Cruz,119,1098,1,-,1.23.10,2.1,NA,NA,NA,NA,NA,NA
2,10,BOUNCER,J074,C Soumillon,C Fownes,122,1152,6,SH,1.23.10,5,10,NA,NA,NA,NA,NA
3,6,BUCCANEER,H214,Z Purton,A Schutz,125,1038,10,2,1.23.40,9.7,13,NA,NA,NA,NA,NA
4,12,AMAZING VENTURE,J039,F Coetzee,D E Ferraris,119,1027,2,2-3/4,1.23.60,17,6,NA,NA,NA,NA,NA
5,4,BEAUTIFUL CHOICE,H130,O Doleuze,Y S Tsui,127,1121,14,3,1.23.60,11,2,NA,NA,NA,NA,NA
6,1,JOLLY WONGCHOY,H076,Y T Cheng,Y O Wong,127,1134,7,3-1/2,1.23.70,10,12,NA,NA,NA,NA,NA
7,7,KING OF FISH,CB10,D Beadman,K L Man,125,1146,5,4-1/2,1.23.80,23,9,NA,NA,NA,NA,NA
8,3,SAVUTE,E326,H W Lai,L Ho,126,1111,3,5-3/4,1.24.00,60,1,NA,NA,NA,NA,NA
9,5,GALLANT WIN,H028,G Boss,P O'Sullivan,127,1136,12,6,1.24.10,12,NA,NA,NA,NA,NA,NA
10,14,PROGRESSING TIMES,CC23,S K Sit,T W Leung,112,1075,8,7-3/4,1.24.30,66,7,NA,NA,NA,NA,NA
11,9,PERFECT MATCH,J072,K T Yeung,J Size,116,1072,13,8,1.24.40,99,4,NA,NA,NA,NA,NA
12,11,WIN MORE,H243,E Wilson,C W Chang,121,1107,11,8-1/2,1.24.50,69,11,NA,NA,NA,NA,NA
13,2,RELY ON ME,E068,M W Leung,D Cruz,124,1231,4,9-1/2,1.24.60,28,3,NA,NA,NA,NA,NA
14,13,CITY SURFER,G129,C W Wong,C H Yip,109,1028,9,16,1.25.60,99,8,NA,NA,NA,NA,NA
1,6,MANY GAINS,J051,D Whyte,K L Man,128,1104,11,-,1.10.50,3.6,2,NA,NA,NA,NA,NA
2,1,KUNG FU,E289,O Doleuze,D Cruz,131,1141,13,1-3/4,1.10.80,23,1,NA,NA,NA,NA,NA
3,3,RICH DRAGON,G079,C Soumillon,C Fownes,130,1115,3,2,1.10.80,10,8,NA,NA,NA,NA,NA
4,5,TERRIFIC BRETHREN,H298,K L Chui,A S Cruz,124,1171,5,2-1/4,1.10.90,3.5,3,NA,NA,NA,NA,NA
5,8,BROTHERS IN ARMS,J070,G Boss,A Lee,125,1132,2,2-1/2,1.10.90,31,5,NA,NA,NA,NA,NA
6,2,RED RULER,H198,D Beadman,D J Hall,130,1070,14,2-3/4,1.11.00,14,14,NA,NA,NA,NA,NA
7,7,THE ONLY KID,H173,H W Lai,K W Lui,123,1112,1,4-3/4,1.11.30,14,11,NA,NA,NA,NA,NA
8,12,OPTIC KING,E139,K T Yeung,B K Ng,111,1111,9,4-3/4,1.11.30,41,4,NA,NA,NA,NA,NA
9,11,SUNNY SMILES,J073,S K Sit,P F Yiu,123,1059,4,5-1/4,1.11.30,79,7,NA,NA,NA,NA,NA
10,10,ELEPHANT STAR,H323,M W Leung,T K Ng,120,1040,8,6-1/2,1.11.60,99,10,NA,NA,NA,NA,NA
11,9,CHINA LUJIA,J088,B Prebble,P O'Sullivan,125,1101,12,8,1.11.80,4.1,9,NA,NA,NA,NA,NA
12,13,FASTER FASTER,G010,F Coetzee,D E Ferraris,116,1253,7,8-1/4,1.11.80,28,12,NA,NA,NA,NA,NA
13,14,MAINLAND MASTER,G044,E Wilson,A Schutz,115,993,6,9-3/4,1.12.10,99,NA,NA,NA,NA,NA,NA
14,4,BROWN BEAR,H125,Y T Cheng,Y S Tsui,127,1109,10,10-3/4,1.12.30,64,NA,NA,NA,NA,NA,NA
1,11,FULL OF JOY,G293,H W Lai,A Lee,110,1090,12,-,1.21.90,23,2,NA,NA,NA,NA,NA
2,1,JOYFUL WINNER,E045,C Soumillon,J Moore,133,1102,1,N,1.22.00,15,6,NA,NA,NA,NA,NA
3,8,SILVER SUN,E126,C W Wong,C H Yip,108,1149,5,1/2,1.22.00,18,5,NA,NA,NA,NA,NA
4,4,ROYAL PRINCE,H072,B Prebble,A S Cruz,126,1215,9,1-1/2,1.22.10,5.6,NA,NA,NA,NA,NA,NA
5,7,SURVEY SURVEY,H070,K L Chui,A S Cruz,113,1077,3,1-3/4,1.22.20,7.6,8,NA,NA,NA,NA,NA
6,10,SUPER TRAVELLER,H275,E Wilson,A Schutz,113,1210,2,1-3/4,1.22.20,5.2,4,NA,NA,NA,NA,NA
7,5,DANACOURT,E228,D Whyte,J Moore,124,1013,4,2,1.22.20,10,7,NA,NA,NA,NA,NA
8,3,RIVER JORDAN,G194,D Beadman,J Moore,127,1110,6,2-1/2,1.22.30,3.6,10,NA,NA,NA,NA,NA
9,12,TCHAIKOVSKY,E030,Y T Cheng,D J Hall,113,1163,7,2-1/2,1.22.30,12,1,NA,NA,NA,NA,NA
10,9,FIRM OFFER,E008,S K Sit,D E Ferraris,111,1057,11,3-3/4,1.22.50,17,9,NA,NA,NA,NA,NA
11,2,GREEN TREASURE,CD22,C K Tong,C Fownes,126,1160,8,5,1.22.70,85,12,NA,NA,NA,NA,NA
12,6,REGENCY HORSE,E229,O Doleuze,D E Ferraris,120,1088,10,5-1/2,1.22.80,35,NA,NA,NA,NA,NA,NA
1,6,MY HOME TOWN,H331,D Whyte,J Size,124,1100,7,-,1.10.10,1.9,5,NA,NA,NA,NA,NA
2,12,ROCKET POWER,H136,K L Chui,A S Cruz,112,1129,12,HD,1.10.20,20,1,NA,NA,NA,NA,NA
3,8,CRAIG'S DRAGON,H131,D Beadman,J Moore,123,1207,11,2,1.10.40,4.6,11,NA,NA,NA,NA,NA
4,4,NAMJONG FIGHTERS,G308,B Prebble,D J Hall,126,1123,5,2-1/2,1.10.50,16,8,NA,NA,NA,NA,NA
5,10,BRILLIANT CHAPTER,J100,F Coetzee,P O'Sullivan,120,1107,8,2-1/2,1.10.50,9.4,2,NA,NA,NA,NA,NA
6,7,PLAN B,J123,C Soumillon,S Woods,123,1084,3,3,1.10.60,47,6,NA,NA,NA,NA,NA
7,1,ALWAYS GIGGLE,G086,G Mosse,A Lee,132,1120,1,3,1.10.60,11,7,NA,NA,NA,NA,NA
8,3,KINGIFLY,G020,G Boss,P F Yiu,126,1146,10,3-1/4,1.10.60,16,3,NA,NA,NA,NA,NA
9,11,CHINA WIN,J147,Y T Cheng,Y S Tsui,115,1087,4,3-1/2,1.10.70,48,9,NA,NA,NA,NA,NA
10,14,SUPER FIGHTER,E167,M W Leung,T W Leung,110,1093,2,4-1/2,1.10.90,53,10,NA,NA,NA,NA,NA
11,9,SUPER GENERAL,J107,Z Purton,K L Man,122,1067,6,6,1.11.10,99,4,NA,NA,NA,NA,NA
12,13,LE ROSSIGNOL,G196,C K Tong,C Fownes,110,1210,14,7,1.11.20,28,NA,NA,NA,NA,NA,NA
13,2,GOLDEN CARE,CD18,K T Yeung,A T Millard,125,1106,9,8,1.11.40,99,NA,NA,NA,NA,NA,NA
14,5,MASSIVE STAR,J126,C W Wong,C H Yip,120,1170,13,13-3/4,1.12.30,99,13,NA,NA,NA,NA,NA
1,3,OURAJA,G214,B Prebble,D J Hall,131,1094,7,-,1.22.30,4.4,3,NA,NA,NA,NA,NA
2,8,SUPER CHARGE,CC29,Y T Cheng,A Lee,121,1194,11,2-1/4,1.22.60,33,1,NA,NA,NA,NA,NA
3,7,MAGIC SWEEP,H299,C Soumillon,D E Ferraris,125,1081,9,2-3/4,1.22.70,5.6,12,NA,NA,NA,NA,NA
4,2,CONGRATULATION,H032,F Coetzee,J Size,131,1123,10,2-3/4,1.22.70,8.6,NA,NA,NA,NA,NA,NA
5,11,STAR OF FAME,H043,K T Yeung,A T Millard,114,1132,4,3,1.22.70,24,6,NA,NA,NA,NA,NA
6,4,CALIFORNIA LUCK,G215,K L Chui,A S Cruz,124,1262,3,3-1/4,1.22.70,31,NA,NA,NA,NA,NA,NA
7,9,THUNDER DANCING,G250,O Doleuze,Y S Tsui,123,1095,13,4,1.22.90,34,11,NA,NA,NA,NA,NA
8,14,GREAT SUPREME,J027,D Whyte,C H Yip,117,1196,1,4-1/4,1.22.90,3,7,NA,NA,NA,NA,NA
9,12,MASTER GUNNER,J142,D Beadman,J Moore,119,1030,2,4-3/4,1.23.00,18,10,NA,NA,NA,NA,NA
10,10,TRULLI,H327,Z Purton,K W Lui,122,1042,8,5-1/4,1.23.10,8.2,9,NA,NA,NA,NA,NA
11,5,DIAMOND ERA,E040,E Wilson,K L Man,128,1102,5,6-3/4,1.23.30,99,NA,NA,NA,NA,NA,NA
12,1,WHIPLASH,G072,C K Tong,C Fownes,127,1159,12,7,1.23.40,99,8,NA,NA,NA,NA,NA
13,6,NORTH HILL,J082,G Mosse,A Lee,128,1136,14,10,1.23.90,37,5,NA,NA,NA,NA,NA
14,13,NEW CHAPTER,H314,G Boss,P O'Sullivan,117,1156,6,18,1.25.10,99,14,NA,NA,NA,NA,NA
1,8,PRIME SCORE,G280,C W Wong,D J Hall,117,1204,1,-,1.21.80,9.6,3,NA,NA,NA,NA,NA
2,3,DAO DAO,H308,D Whyte,J Size,127,1279,4,3/4,1.21.90,9.7,9,NA,NA,NA,NA,NA
3,7,GALLANT LION,G243,C Soumillon,C Fownes,122,1108,13,1-1/2,1.22.00,6.3,13,NA,NA,NA,NA,NA
4,13,DIAMOND BRILLIANCE,H002,H W Lai,K L Man,112,1161,14,1-3/4,1.22.00,72,7,NA,NA,NA,NA,NA
5,12,ONE WORLD,H133,D Beadman,J Moore,119,1091,3,3-1/2,1.22.30,4.4,6,NA,NA,NA,NA,NA
6,2,HIGH POINT,H215,G Mosse,C S Shum,130,1101,6,3-1/2,1.22.30,6.8,9,NA,NA,NA,NA,NA
7,1,GOODY,CD23,G Boss,D E Ferraris,130,1069,2,4,1.22.40,72,NA,NA,NA,NA,NA,NA
8,5,VIVA HONG KONG,J097,Z Purton,J Moore,125,1140,7,4-1/4,1.22.40,99,14,NA,NA,NA,NA,NA
9,4,KIMBO KID,CC37,K L Chui,A S Cruz,120,1085,10,4-1/2,1.22.50,70,NA,NA,NA,NA,NA,NA
10,10,O'REILLY RALLY,H266,B Prebble,A S Cruz,120,1122,12,5,1.22.60,3.2,4,NA,NA,NA,NA,NA
11,6,FIRST AMONG EQUALS,CC32,F Coetzee,C W Chang,123,1155,9,5-1/2,1.22.70,16,12,NA,NA,NA,NA,NA
12,11,WALKONTHEWILDSIDE,G033,O Doleuze,P O'Sullivan,120,1083,8,7-1/2,1.23.00,35,9,NA,NA,NA,NA,NA
13,14,MERIDIAN PRIDE,H057,Y T Cheng,A Lee,114,1162,11,8-3/4,1.23.20,38,5,NA,NA,NA,NA,NA
14,9,GLOBAL WIN,G109,S K Sit,D E Ferraris,119,1186,5,17-3/4,1.24.60,99,1,NA,NA,NA,NA,NA
WV,,UPSIDE OF ANGER,H317,---,P O'Sullivan,117,1154,---,-,---,---,NA,NA,NA,NA,NA,NA
1,9,HAPPY ALL AROUND,CD24,F Coetzee,A S Cruz,115,1065,6,-,2.04.30,24,4,NA,NA,NA,NA,NA
2,6,MEATH,E143,Y T Cheng,Y S Tsui,124,1081,11,1-1/4,2.04.50,43,NA,NA,NA,NA,NA,NA
3,3,CHAMPION PIONEER,G305,G Mosse,A Lee,128,1059,1,1-1/2,2.04.50,7.8,10,NA,NA,NA,NA,NA
4,4,DASH,G236,C W Wong,C H Yip,123,1077,5,1-3/4,2.04.60,18,1,NA,NA,NA,NA,NA
5,7,SUPER SURPRISE,H210,C Soumillon,D E Ferraris,126,1105,8,2-1/4,2.04.70,11,6,NA,NA,NA,NA,NA
6,1,WONG'S SUCCESS,E107,D Whyte,K W Lui,133,1086,2,3-3/4,2.04.90,8.3,7,NA,NA,NA,NA,NA
7,5,ELEPHANT DANCE,CA39,O Doleuze,T K Ng,128,1139,7,3-3/4,2.04.90,10,NA,NA,NA,NA,NA,NA
8,8,ROCKALOT,H163,G Boss,P F Yiu,121,981,9,4,2.04.90,1.9,5,NA,NA,NA,NA,NA
9,11,NIGHT HUNTER III,H102,H W Lai,T W Leung,112,1195,4,4,2.04.90,25,11,NA,NA,NA,NA,NA
10,2,CENTENNIAL SMILE,G165,B Prebble,D Cruz,129,1029,10,4-1/4,2.05.00,16,9,NA,NA,NA,NA,NA
11,10,LAZY BUDDIES,CC20,E Wilson,A Lee,115,1167,3,5-1/2,2.05.20,26,8,NA,NA,NA,NA,NA
1,3,LOLLIPOP,H006,Z Purton,C Fownes,126,1131,11,-,1.09.80,21,NA,NA,NA,NA,NA,NA
2,7,TOWKAY FLYER,J036,G Mosse,A Lee,122,1085,9,1-3/4,1.10.10,3.5,6,NA,NA,NA,NA,NA
3,8,MY MELODY,J157,G Boss,C S Shum,121,1231,10,2-1/2,1.10.20,9,3,NA,NA,NA,NA,NA
4,13,MINGS' HERO,J011,C W Wong,C H Yip,114,1074,12,3-1/4,1.10.30,12,7,NA,NA,NA,NA,NA
5,6,SUPER MUSIC,G248,O Doleuze,A Schutz,124,1236,5,3-1/4,1.10.30,31,8,NA,NA,NA,NA,NA
6,5,RAINBOW OASIS,H165,H W Lai,Y S Tsui,123,1184,4,3-1/2,1.10.30,10,12,NA,NA,NA,NA,NA
7,12,LOHAN,H279,M W Leung,B K Ng,114,1075,3,5,1.10.60,90,13,NA,NA,NA,NA,NA
8,2,LADY FIRST,J067,Y T Cheng,T W Leung,124,1061,1,5,1.10.60,49,10,NA,NA,NA,NA,NA
9,14,FULL BLESSINGS,H238,W M Lai,A S Cruz,115,1069,8,5-3/4,1.10.70,7,2,NA,NA,NA,NA,NA
10,11,HAPPEE GIFT,H313,B Prebble,P O'Sullivan,119,1120,6,5-3/4,1.10.70,10,9,NA,NA,NA,NA,NA
